n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,125,336.011,0,0,0,0,1000
4,156.25,368.902,0,0,0,0,1000
6,343.75,482.559,0,0,0,1000,1000
8,437.5,504.016,0,0,0,1000,1000
10,437.5,504.016,0,0,0,1000,1000
12,718.75,456.803,0,0,1000,1000,1000
14,1093.75,296.145,1000,1000,1000,1000,2000
16,1437.5,504.016,1000,1000,1000,2000,2000
18,1843.75,723.316,1000,1000,2000,2000,4000
20,2187.5,396.558,2000,2000,2000,2000,3000
22,2562.5,504.016,2000,2000,3000,3000,3000
24,3500,718.421,3000,3000,3000,4000,6000
26,4437.5,1075.76,4000,4000,4000,4000,9000
28,5156.25,514.899,4000,5000,5000,5000,7000
30,6187.5,997.982,5000,6000,6000,6000,11000
32,7406.25,837.021,7000,7000,7000,8000,11000
34,8468.75,507.007,8000,8000,8000,9000,9000
36,11031.2,1768.62,10000,10000,11000,11000,20000
38,11406.2,498.991,11000,11000,11000,12000,12000
40,14437.5,3232.27,13000,13000,14000,14000,27000
42,19687.5,6487.89,15000,16000,17000,18000,35000
44,20812.5,5057.33,18000,18000,19000,19250,35000
46,24718.8,6653.81,21000,21000,22000,23000,42000
48,25593.8,5351.27,22000,23000,24500,25000,49000
50,32656.2,11713.3,25000,26000,27000,31750,73000
52,36312.5,10690.5,30000,30750,32000,33000,68000
54,37062.5,12554.2,32000,33000,33500,35000,99000
56,42843.8,6180.66,35000,41000,41000,42000,67000
58,50500,8860.93,45000,47000,48000,50000,88000
60,68843.8,19518.6,49000,50750,67000,73500,117000
62,77500,23676.6,58000,60000,67000,82250,133000
64,72906.2,21761.7,58000,60000,62500,74000,134000
66,77593.8,22324.4,65000,68000,69500,72250,155000
68,77343.8,11574.7,65000,68000,72000,91250,99000
70,100344,2560.36,94000,98750,100000,102000,106000
72,106656,6178.05,95000,100750,107000,112000,115000
74,117562,13795.6,107000,113000,114000,117000,190000
76,132438,35008.7,106000,121000,123000,125750,304000
78,136656,18605.6,121000,130000,132000,134000,206000
80,119344,15763.6,105000,110000,113500,123250,186000
82,129062,5015.7,123000,124750,129000,131250,143000
84,148469,13495.5,133000,141750,145000,151750,208000
86,174469,28216.9,155000,163750,170500,177000,323000
88,171875,30376.9,153000,155750,164000,173500,310000
90,189500,10217,181000,184750,186000,189000,222000
92,204594,17314.7,197000,200750,201000,202000,297000
94,217656,19001.9,212000,213000,213000,214000,320000
96,226062,24162,209000,218000,222500,226000,354000
98,255625,36151.8,238000,239000,241000,255750,418000
100,271969,29075.5,251000,258000,263000,271000,378000
102,275938,10689,265000,266000,274000,280000,316000
104,284969,5710.68,280000,280750,282500,287250,300000
106,310375,5586.56,302000,304000,311000,314000,322000
108,341406,14455.4,311000,333250,343000,352250,379000
110,353031,10950,330000,344000,353000,361250,372000
112,367469,46443.2,343000,352000,361000,363750,613000
114,408094,72940.3,361000,370000,379000,397250,656000
116,385531,11725.3,378000,379000,379000,388250,437000
118,399281,6274.55,396000,397000,397000,397000,419000
120,424250,10794.3,415000,416000,420000,426250,452000
122,480625,13724.8,457000,470000,482000,483000,531000
124,472125,9803.72,455000,466750,469500,479000,491000
126,581125,189599,476000,476000,487000,542750,1.099e+06
128,528250,60282.1,510000,516000,518000,521000,858000
130,525781,21122.9,519000,519000,520000,522250,631000
132,558125,51355,542000,542000,543000,546250,792000
134,577406,16513.6,565000,565750,568000,594000,612000
136,603719,37863.3,589000,591000,592000,602000,801000
138,658469,95512.5,614000,616250,631000,647000,1.081e+06
140,727938,204215,639000,640750,645500,680500,1.444e+06
142,1.02628e+06,336331,665000,716000,1e+06,1.22775e+06,1.754e+06
144,1.2555e+06,261271,816000,1.06825e+06,1.2485e+06,1.3985e+06,1.859e+06
146,1.16441e+06,279791,803000,892500,1.14e+06,1.3885e+06,1.617e+06
148,1.27081e+06,308951,833000,1.0615e+06,1.3055e+06,1.37925e+06,2.358e+06
150,963938,237122,809000,828500,845000,929250,1.548e+06
152,958219,186636,813000,843250,881000,953250,1.448e+06
154,999125,227344,863000,879250,913000,954250,1.737e+06
156,956875,94058.2,904000,921000,930500,954000,1.42e+06
158,1.03175e+06,170937,929000,952750,960500,1.0145e+06,1.619e+06
160,1.08088e+06,139803,974000,1.006e+06,1.0365e+06,1.0565e+06,1.549e+06
162,1.14219e+06,227828,975000,1.00675e+06,1.056e+06,1.15575e+06,1.927e+06
164,1.11828e+06,129478,1.038e+06,1.04675e+06,1.0725e+06,1.124e+06,1.685e+06
166,1.1365e+06,99910.6,1.058e+06,1.0905e+06,1.1125e+06,1.14375e+06,1.641e+06
168,1.16206e+06,83991.1,1.089e+06,1.101e+06,1.136e+06,1.1895e+06,1.524e+06
170,1.14006e+06,21232.9,1.124e+06,1.12575e+06,1.129e+06,1.15175e+06,1.211e+06
172,1.21244e+06,53967.7,1.166e+06,1.19275e+06,1.199e+06,1.21675e+06,1.449e+06
