n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,156.25,368.902,0,0,0,0,1000
4,218.75,420.013,0,0,0,0,1000
6,250,439.941,0,0,0,250,1000
8,312.5,470.929,0,0,0,1000,1000
10,437.5,504.016,0,0,0,1000,1000
12,687.5,470.929,0,0,1000,1000,1000
14,875,421.212,0,1000,1000,1000,2000
16,1375,491.869,1000,1000,1000,2000,2000
18,1625,609.071,1000,1000,2000,2000,3000
20,2125,336.011,2000,2000,2000,2000,3000
22,2718.75,456.803,2000,2000,3000,3000,3000
24,3656.25,482.559,3000,3000,4000,4000,4000
26,4968.75,1655.57,4000,4000,5000,5000,13000
28,5656.25,545.325,4000,5000,6000,6000,6000
30,6937.5,800.705,5000,6000,7000,7250,8000
32,8187.5,692.704,7000,8000,8000,9000,9000
34,9656.25,937.029,8000,9000,10000,10000,11000
36,11343.8,1207.75,9000,10000,12000,12000,13000
38,13531.2,1413.86,11000,13500,14000,14000,15000
40,15937.5,1134.15,13000,16000,16000,17000,17000
42,17906.2,1593.52,15000,17750,19000,19000,20000
44,20062.5,1605.18,17000,18750,21000,21000,22000
46,23437.5,5009.27,20000,20000,23000,24000,49000
48,25500,1626.4,22000,25000,26000,26250,29000
50,27906.2,2276.94,24000,26000,28000,29250,32000
52,31187.5,1974.64,28000,30000,31000,32000,35000
54,34312.5,1635.05,31000,33000,35000,35000,38000
56,42625,1946.88,39000,41000,43000,44000,47000
58,47156.2,2244.84,44000,46000,47000,48000,56000
60,56406.2,8823.94,46000,48000,56000,64000,79000
62,56156.2,3935.85,52000,54750,56000,56000,70000
64,57562.5,1882.65,54000,56000,58000,59000,61000
66,69968.8,7647.41,62000,66000,67000,70750,88000
68,75750,11359.2,66000,67750,69000,91000,96000
70,95218.8,3678.48,91000,93000,94000,97000,110000
72,95093.8,5281.49,86000,91000,94000,98250,107000
74,114250,4905.56,109000,113000,113000,114000,139000
76,118094,7319.26,107000,112000,121000,122000,147000
78,122000,4751.91,110000,119000,123000,126000,129000
80,112000,4508.06,104000,109750,112000,114000,126000
82,130344,9730.59,123000,127000,128000,130000,169000
84,142219,11591.8,132000,135000,137500,146000,191000
86,157000,4642.02,153000,154000,155000,157000,173000
88,160656,19443.2,151000,153750,156500,158500,263000
90,183125,13362.8,171000,177000,180000,186000,250000
92,194219,5960.81,183000,189750,194000,199000,205000
94,216156,11520.3,212000,213000,214000,215000,279000
96,212125,5906.53,200000,208000,211500,214000,225000
98,238281,12431.1,229000,233750,236000,238000,300000
100,251312,6321.69,244000,247000,251000,253000,281000
102,267188,3257.13,260000,266000,268000,269000,274000
104,289781,26118.5,280000,281000,282500,283250,408000
106,298812,12475.6,289000,295000,297000,298000,364000
108,310188,3345.07,303000,309000,311000,312250,316000
110,328312,2856.09,319000,327000,329000,330000,336000
112,346906,4002.9,343000,345000,346000,348000,366000
114,362375,2948.48,354000,361000,363000,364000,369000
116,380875,7088.15,370000,379000,381000,382000,415000
118,396781,4375.4,388000,395250,397500,399250,408000
120,419000,6495.66,408000,416000,418000,419000,438000
122,448406,31070,435000,437000,438000,439000,569000
124,456906,4672.22,447000,455750,457500,459000,468000
126,486188,36457.2,476000,477750,479000,481000,685000
128,514531,9781.43,498000,509000,515000,519000,549000
130,522312,2481.38,519000,521000,522000,524250,527000
132,546562,6308.92,535000,543000,545000,548000,564000
134,574469,23756.8,554000,566000,567500,573250,697000
136,600219,24654.7,575000,590000,594000,602500,716000
138,622188,21508.3,600000,611500,617500,622000,705000
140,649438,15420.8,629000,640000,643000,650250,691000
142,672875,19790.4,665000,666000,667500,670000,769000
144,699906,5281.49,694000,696750,699500,702250,718000
146,739906,30504.7,720000,723750,730000,737250,872000
148,789062,97933.1,723000,751750,756000,772250,1.185e+06
150,807500,50840,764000,782000,787500,802250,984000
152,828281,39664.1,791000,812000,815000,821500,1.002e+06
154,864719,58166.2,824000,844000,849000,860250,1.096e+06
156,900469,74673.9,862000,876000,879500,890000,1.273e+06
158,974656,168721,907000,910000,916000,925500,1.729e+06
160,959750,13471.6,932000,950000,956500,968000,989000
162,987000,23560.5,953000,978750,981000,986500,1.075e+06
164,1.18872e+06,237653,1.012e+06,1.01775e+06,1.046e+06,1.31275e+06,1.797e+06
166,1.19012e+06,296819,1.049e+06,1.07525e+06,1.1325e+06,1.16075e+06,2.651e+06
168,1.15384e+06,156242,1.089e+06,1.0945e+06,1.1015e+06,1.1255e+06,1.898e+06
170,1.21681e+06,207008,1.124e+06,1.127e+06,1.13e+06,1.166e+06,2.037e+06
172,1.231e+06,115505,1.159e+06,1.17525e+06,1.1935e+06,1.22575e+06,1.734e+06
174,1.22791e+06,66655.3,1.154e+06,1.20675e+06,1.2095e+06,1.21775e+06,1.486e+06
176,1.29441e+06,81905.9,1.223e+06,1.25775e+06,1.268e+06,1.289e+06,1.675e+06
178,1.31722e+06,98696.9,1.284e+06,1.29275e+06,1.2955e+06,1.30525e+06,1.853e+06
180,1.37909e+06,130222,1.306e+06,1.338e+06,1.345e+06,1.35825e+06,2.066e+06
182,1.40747e+06,58183.2,1.35e+06,1.383e+06,1.385e+06,1.395e+06,1.595e+06
184,1.44234e+06,17757.5,1.396e+06,1.43275e+06,1.439e+06,1.44925e+06,1.507e+06
186,1.49394e+06,39442.8,1.449e+06,1.47575e+06,1.481e+06,1.498e+06,1.642e+06
188,1.53959e+06,46189.6,1.498e+06,1.52275e+06,1.5255e+06,1.54e+06,1.766e+06
190,1.58456e+06,24059,1.534e+06,1.572e+06,1.575e+06,1.592e+06,1.679e+06
192,1.68722e+06,41756.4,1.644e+06,1.65625e+06,1.6725e+06,1.7065e+06,1.821e+06
194,1.70047e+06,65740.9,1.671e+06,1.673e+06,1.6845e+06,1.69425e+06,1.993e+06
196,1.7395e+06,18199.6,1.706e+06,1.728e+06,1.735e+06,1.74825e+06,1.784e+06
198,1.83697e+06,128727,1.733e+06,1.778e+06,1.7915e+06,1.82525e+06,2.32e+06
200,1.86441e+06,75547,1.804e+06,1.83775e+06,1.8465e+06,1.858e+06,2.24e+06
202,1.90978e+06,49655.4,1.845e+06,1.888e+06,1.89e+06,1.9135e+06,2.106e+06
204,1.97325e+06,52238.3,1.945e+06,1.949e+06,1.963e+06,1.968e+06,2.221e+06
206,2.05325e+06,114985,1.977e+06,2.00575e+06,2.0145e+06,2.03525e+06,2.475e+06
208,2.11244e+06,146348,2.023e+06,2.068e+06,2.0915e+06,2.1055e+06,2.898e+06
210,2.14681e+06,50907.5,2.083e+06,2.123e+06,2.126e+06,2.148e+06,2.336e+06
212,2.229e+06,198253,2.131e+06,2.18475e+06,2.189e+06,2.203e+06,3.288e+06
214,2.28722e+06,40487.1,2.243e+06,2.2495e+06,2.281e+06,2.31275e+06,2.418e+06
216,2.34081e+06,61974.2,2.258e+06,2.31575e+06,2.32e+06,2.34075e+06,2.592e+06
218,2.42875e+06,187049,2.316e+06,2.374e+06,2.3945e+06,2.4255e+06,3.422e+06
220,2.67731e+06,363637,2.436e+06,2.45175e+06,2.52e+06,2.709e+06,3.967e+06
222,2.58962e+06,77908.9,2.507e+06,2.552e+06,2.577e+06,2.624e+06,2.946e+06
224,2.72131e+06,214402,2.585e+06,2.59175e+06,2.6725e+06,2.74625e+06,3.712e+06
226,2.77238e+06,264491,2.644e+06,2.65725e+06,2.6705e+06,2.7435e+06,4.016e+06
228,2.82722e+06,173807,2.673e+06,2.7265e+06,2.7605e+06,2.8245e+06,3.455e+06
230,2.84106e+06,75346.1,2.784e+06,2.78975e+06,2.8055e+06,2.8655e+06,3.042e+06
232,2.95875e+06,135638,2.866e+06,2.88525e+06,2.917e+06,2.95975e+06,3.469e+06
234,2.9985e+06,104591,2.932e+06,2.93875e+06,2.956e+06,2.9805e+06,3.334e+06
