n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,62.5,245.935,0,0,0,0,1000
4,250,439.941,0,0,0,250,1000
6,93.75,296.145,0,0,0,0,1000
8,406.25,498.991,0,0,0,1000,1000
10,343.75,482.559,0,0,0,1000,1000
12,718.75,456.803,0,0,1000,1000,1000
14,968.75,176.777,0,1000,1000,1000,1000
16,1375,491.869,1000,1000,1000,2000,2000
18,1562.5,564.401,1000,1000,2000,2000,3000
20,2125,336.011,2000,2000,2000,2000,3000
22,2750,439.941,2000,2750,3000,3000,3000
24,3656.25,601.577,3000,3000,4000,4000,5000
26,4781.25,420.013,4000,5000,5000,5000,5000
28,5687.5,470.929,5000,5000,6000,6000,6000
30,7000,672.022,5000,7000,7000,7000,8000
32,8281.25,812.578,7000,8000,8500,9000,9000
34,9968.75,966.683,8000,9750,10000,11000,12000
36,11843.8,883.883,9000,12000,12000,12000,13000
38,14125,1039.54,11000,14000,14000,15000,15000
40,16000,1163.98,13000,16000,16000,17000,17000
42,17468.8,1883.45,15000,15000,18500,19000,20000
44,20625,1680.05,17000,20000,21000,22000,22000
46,23250,1684.85,19000,22750,23500,24250,26000
48,25312.5,1468.76,22000,25000,26000,26000,28000
50,28250,1934.41,24000,26750,29000,29000,32000
52,31843.8,2065.22,28000,31000,32000,32000,40000
54,35218.8,2181.07,31000,34750,35500,36000,40000
56,42718.8,2385.9,39000,41000,43000,43000,52000
58,47093.8,2145.65,43000,46000,47000,48000,55000
60,50718.8,5507.97,46000,48000,49000,51000,64000
62,57375,3461.77,53000,56000,56000,57000,71000
64,56250,1983.81,52000,55000,56000,57000,62000
66,65812.5,1306,63000,65000,66000,66000,69000
68,68968.8,4314.15,64000,67000,68000,70000,85000
70,96531.2,1269.6,94000,96000,97000,97000,98000
72,91375,5344.58,86000,89000,89500,90250,108000
74,114250,4016.1,112000,113000,114000,114000,136000
76,111500,3750.27,106000,109000,111000,112250,121000
78,115156,6711.13,105000,110000,115000,119250,128000
80,113281,5686.62,105000,111000,112500,113000,132000
82,136250,45654.4,122000,126000,129000,129250,386000
84,137312,3052.63,131000,136000,137000,138250,146000
86,158594,4478.33,153000,155000,157000,161250,169000
88,157156,2852.38,152000,156750,157000,158000,167000
90,178688,4686.55,170000,176000,178000,182000,189000
92,197219,5757.1,186000,193750,197000,200250,212000
94,214344,1428.05,212000,214000,214000,215000,219000
96,220844,5691.59,213000,218000,220500,222000,247000
98,238125,5499.27,232000,234000,238500,239000,263000
100,253719,2317.32,245000,253000,254000,254250,260000
102,268781,2915.3,265000,267750,268000,269000,282000
104,279469,4265.27,273000,276000,280000,282250,292000
106,297344,1358.59,295000,297000,297000,298000,302000
108,312969,2375.74,311000,312000,313000,313250,324000
110,329125,1211.5,327000,329000,329000,330000,333000
112,344875,4338.5,337000,341000,346000,347250,356000
114,360969,6007.98,353000,357250,362000,363000,387000
116,381656,3890.51,379000,380750,381000,382000,402000
118,399031,1402.4,397000,398000,399000,400000,401000
120,415938,5260.55,406000,410000,418000,419250,427000
122,438125,6656.31,426000,436500,438000,440000,454000
124,462312,17181.1,447000,456500,459000,461250,539000
126,478219,8047.18,465000,475000,479000,481000,510000
128,517344,7669,506000,511000,515500,523250,532000
130,521500,9463,509000,514750,521500,525000,553000
132,549188,7411.58,542000,545000,548000,550000,578000
134,570375,6084.09,557000,567000,570000,572000,597000
136,596125,7290.07,579000,592000,597000,598000,622000
138,618375,8150.8,602000,614000,620500,622000,650000
140,645219,6499.3,627000,641750,646500,649000,664000
142,672219,10570,653000,665000,669500,676000,699000
144,706906,9042.41,695000,700000,706000,711000,732000
146,743688,40520.4,720000,724000,731500,735250,903000
148,762938,12831.3,750000,753000,763000,764250,812000
150,787281,13763.5,761000,779750,790000,793000,837000
152,813031,16944.9,793000,803500,807500,819250,879000
154,853312,10870,823000,844750,855000,859500,880000
156,887062,11086,869000,878250,889000,891750,917000
158,910125,13613.9,886000,902750,910000,923000,934000
160,961156,11141.6,945000,951750,962000,968250,988000
162,986469,12315.7,955000,978750,989000,994250,1.02e+06
164,1.01775e+06,25660.3,967000,1.00025e+06,1.018e+06,1.032e+06,1.09e+06
166,1.0485e+06,18535.1,1.005e+06,1.03775e+06,1.0535e+06,1.06275e+06,1.077e+06
168,1.10547e+06,7935.16,1.089e+06,1.10225e+06,1.108e+06,1.109e+06,1.125e+06
170,1.14181e+06,32538.3,1.099e+06,1.129e+06,1.142e+06,1.143e+06,1.31e+06
172,1.17878e+06,9734.32,1.166e+06,1.169e+06,1.182e+06,1.185e+06,1.204e+06
174,1.21334e+06,15028.2,1.182e+06,1.207e+06,1.213e+06,1.22525e+06,1.238e+06
176,1.27403e+06,35153.6,1.221e+06,1.253e+06,1.268e+06,1.28725e+06,1.402e+06
178,1.30194e+06,15294.8,1.268e+06,1.294e+06,1.299e+06,1.311e+06,1.36e+06
180,1.33825e+06,62417.9,1.26e+06,1.306e+06,1.3315e+06,1.3455e+06,1.63e+06
