n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
16,16500,93338.1,0,0,0,0,528000
32,127906,365994,0,0,0,0,1.504e+006
64,695312,572763,0,0,1.001e+006,1.009e+006,1.583e+006
128,5.82203e+006,582442,4.528e+006,5.547e+006,6.0115e+006,6.1295e+006,6.767e+006
256,4.44969e+007,3.58711e+006,4.1784e+007,4.26505e+007,4.35945e+007,4.49295e+007,6.1877e+007
512,3.40993e+008,9.44051e+006,3.27227e+008,3.3473e+008,3.4024e+008,3.46078e+008,3.61039e+008
1024,2.82583e+009,6.00808e+007,2.70577e+009,2.79826e+009,2.82356e+009,2.86021e+009,2.93707e+009
2048,2.1542e+010,7.37642e+008,2.02692e+010,2.10915e+010,2.14609e+010,2.1884e+010,2.33381e+010
