n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,62.5,245.935,0,0,0,0,1000
4,62.5,245.935,0,0,0,0,1000
6,187.5,396.558,0,0,0,0,1000
8,250,439.941,0,0,0,250,1000
10,593.75,498.991,0,0,1000,1000,1000
12,687.5,470.929,0,0,1000,1000,1000
14,968.75,309.461,0,1000,1000,1000,2000
16,1437.5,564.401,1000,1000,1000,2000,3000
18,1718.75,581.121,1000,1000,2000,2000,3000
20,2156.25,368.902,2000,2000,2000,2000,3000
22,2781.25,490.844,2000,2750,3000,3000,4000
24,3687.5,470.929,3000,3000,4000,4000,4000
26,4656.25,482.559,4000,4000,5000,5000,5000
28,5750,439.941,5000,5750,6000,6000,6000
30,6843.75,919.655,6000,6000,7000,7000,10000
32,7875,870.669,7000,7000,8000,8250,10000
34,9875,793.116,8000,9750,10000,10000,11000
36,11968.8,2235.84,9000,11750,12000,12000,23000
38,13125,1497.31,11000,12000,14000,14000,15000
40,15031.2,1635.97,13000,13000,16000,16000,17000
42,18281.2,1464.29,15000,18000,19000,19000,20000
44,21062.5,1543.72,18000,20000,22000,22000,24000
46,23093.8,1747.98,19000,22000,23000,24000,27000
48,26093.8,2493.34,22000,25000,26000,27000,35000
50,28281.2,1727.1,25000,27750,28500,29000,32000
52,31406.2,1682.15,29000,30750,32000,32000,35000
54,34343.8,2009.8,32000,33000,34000,36000,40000
56,42718.8,1464.29,39000,42000,43000,43250,46000
58,47656.2,2935.98,44000,45000,47000,49000,56000
60,51031.2,6836.73,45000,47000,48000,51250,65000
62,61156.2,9308.72,52000,55000,56000,69250,95000
64,55937.5,1865.43,53000,55000,56000,57000,61000
66,66125,4598.39,63000,64000,65000,66000,83000
68,74062.5,20377,64000,65750,68000,69250,161000
70,93625,1979.74,91000,92000,93000,94000,98000
72,99031.2,6532.72,91000,93000,96000,107000,114000
74,112094,2374.04,107000,110000,113000,114000,116000
76,121031,999.496,119000,120000,121000,122000,122000
78,122000,6064.17,111000,117000,121000,128250,130000
80,115062,4758.27,109000,112000,113500,117000,129000
82,129594,5841.23,123000,127000,128000,130250,149000
84,141969,5772.48,134000,137750,140000,146000,154000
86,157875,6004.03,150000,155000,156000,162000,178000
88,159375,11594.6,150000,154000,157000,159000,215000
90,183188,2912.02,177000,181000,183000,185000,189000
92,199500,4428.65,190000,197750,201000,202000,209000
94,211469,4103.38,203000,208750,213000,215000,219000
96,221219,10165.5,209000,216000,221500,224500,267000
98,239125,2648.8,231000,238000,239000,240250,245000
100,250156,3716.65,241000,247000,251000,252250,259000
102,268031,1447.68,265000,268000,268000,269000,271000
104,282531,4785.63,275000,280000,282000,283000,306000
106,297094,5201.48,288000,295000,297500,299000,318000
108,311719,1870.56,309000,310750,312000,312000,316000
110,329375,2043.87,326000,328750,329000,330000,338000
112,347531,6058.77,343000,345750,346000,347250,375000
114,362406,1603.61,360000,361000,363000,363250,365000
116,380250,3005.37,369000,380000,381000,382000,383000
118,400375,4077.87,390000,399000,400000,401000,414000
120,419406,2353.57,415000,418750,419000,420250,425000
122,440969,7579.62,435000,437000,439000,441000,464000
124,452812,8963.86,444000,447000,450500,455000,483000
126,479938,5423.59,472000,478000,478500,480250,505000
128,520719,18622.3,507000,510750,518000,525000,614000
130,522969,4782.25,510000,520750,524000,526000,533000
132,551562,25226.6,529000,544000,547000,548250,684000
134,579719,38223.6,562000,567000,570000,573000,778000
136,593562,14052.8,578000,585750,591500,597250,657000
138,623406,14712,613000,616000,620500,623000,693000
140,648375,20379.9,626000,640750,642500,649500,741000
142,672281,6001.26,665000,667750,674500,676000,692000
144,704344,7748.5,693000,698750,704500,706750,724000
146,738156,44224.6,720000,723000,726500,734750,972000
148,754469,17994.6,733000,744750,752500,762500,826000
150,790125,9918.21,761000,784500,792000,794250,817000
152,827906,21324.5,810000,814000,825500,832000,921000
154,846250,13149.3,822000,841500,846000,855250,873000
156,883438,9083.62,873000,876000,881000,890000,915000
158,918281,10349.5,898000,910000,915500,923000,946000
160,958500,27862.6,924000,946000,953000,965750,1.09e+06
162,986781,36030.2,928000,974000,984500,996250,1.145e+06
164,1.01884e+06,27959.8,990000,1.00675e+06,1.0155e+06,1.022e+06,1.153e+06
166,1.06109e+06,9812.3,1.048e+06,1.053e+06,1.0625e+06,1.06725e+06,1.086e+06
168,1.10222e+06,35660.3,1.063e+06,1.091e+06,1.0935e+06,1.108e+06,1.284e+06
170,1.13781e+06,30913.4,1.089e+06,1.1265e+06,1.137e+06,1.1435e+06,1.263e+06
172,1.183e+06,23747.3,1.144e+06,1.1705e+06,1.1835e+06,1.18675e+06,1.276e+06
174,1.29378e+06,208176,1.175e+06,1.209e+06,1.2235e+06,1.289e+06,2.179e+06
176,1.54997e+06,524149,1.254e+06,1.3325e+06,1.3845e+06,1.53525e+06,4.11e+06
178,1.31084e+06,30124.6,1.277e+06,1.29375e+06,1.3005e+06,1.316e+06,1.427e+06
180,1.43831e+06,217682,1.325e+06,1.34225e+06,1.3555e+06,1.411e+06,2.454e+06
182,1.43106e+06,152666,1.348e+06,1.38075e+06,1.384e+06,1.401e+06,2.026e+06
184,1.44556e+06,28734.5,1.417e+06,1.431e+06,1.4355e+06,1.4475e+06,1.557e+06
186,1.50728e+06,89734.5,1.436e+06,1.47475e+06,1.4885e+06,1.495e+06,1.866e+06
188,1.54331e+06,35661.9,1.52e+06,1.52675e+06,1.538e+06,1.54475e+06,1.727e+06
190,1.59116e+06,60696.6,1.534e+06,1.572e+06,1.5795e+06,1.59225e+06,1.904e+06
192,1.68525e+06,37151,1.644e+06,1.65275e+06,1.67e+06,1.7145e+06,1.766e+06
194,1.68131e+06,17438.3,1.631e+06,1.67375e+06,1.681e+06,1.69225e+06,1.716e+06
196,1.73072e+06,54606.6,1.65e+06,1.70025e+06,1.7175e+06,1.74275e+06,1.93e+06
198,1.79172e+06,13901.1,1.777e+06,1.78e+06,1.783e+06,1.80125e+06,1.824e+06
200,1.84309e+06,38507.1,1.792e+06,1.8135e+06,1.838e+06,1.8635e+06,1.978e+06
202,1.89906e+06,20077.2,1.842e+06,1.888e+06,1.892e+06,1.909e+06,1.959e+06
204,1.96416e+06,19887,1.935e+06,1.9485e+06,1.9635e+06,1.97525e+06,2.013e+06
206,2.0135e+06,20685,1.974e+06,2.004e+06,2.0125e+06,2.0225e+06,2.06e+06
208,2.08769e+06,29839.8,2.023e+06,2.071e+06,2.0795e+06,2.1e+06,2.183e+06
210,2.13278e+06,28299.9,2.071e+06,2.11975e+06,2.1315e+06,2.14525e+06,2.219e+06
212,2.19831e+06,13625,2.176e+06,2.187e+06,2.202e+06,2.205e+06,2.25e+06
214,2.26112e+06,31076.1,2.191e+06,2.24775e+06,2.263e+06,2.2705e+06,2.377e+06
216,2.32684e+06,27495.6,2.264e+06,2.31575e+06,2.3275e+06,2.341e+06,2.415e+06
218,2.39838e+06,29294.7,2.373e+06,2.3785e+06,2.392e+06,2.39925e+06,2.521e+06
220,2.45925e+06,23896.3,2.437e+06,2.43975e+06,2.455e+06,2.46675e+06,2.546e+06
222,2.52353e+06,38857.9,2.464e+06,2.506e+06,2.517e+06,2.52675e+06,2.67e+06
224,2.60009e+06,30380.8,2.522e+06,2.586e+06,2.6e+06,2.6175e+06,2.679e+06
226,2.67706e+06,45478.8,2.642e+06,2.6485e+06,2.6695e+06,2.68025e+06,2.845e+06
228,2.74825e+06,52029.8,2.655e+06,2.72675e+06,2.7485e+06,2.772e+06,2.875e+06
230,2.79788e+06,34512,2.718e+06,2.786e+06,2.7985e+06,2.814e+06,2.878e+06
232,2.89662e+06,57593,2.802e+06,2.86925e+06,2.882e+06,2.90725e+06,3.079e+06
234,2.94466e+06,36188.2,2.865e+06,2.93475e+06,2.9495e+06,2.966e+06,3.022e+06
236,3.03866e+06,78714.1,2.951e+06,3.00875e+06,3.0235e+06,3.034e+06,3.417e+06
238,3.123e+06,87915.3,3.041e+06,3.08775e+06,3.105e+06,3.12625e+06,3.554e+06
240,3.22369e+06,172910,3.058e+06,3.179e+06,3.1965e+06,3.20825e+06,4.141e+06
242,3.27319e+06,58948.5,3.214e+06,3.2455e+06,3.2625e+06,3.27625e+06,3.497e+06
244,3.36016e+06,33868.9,3.3e+06,3.3405e+06,3.3505e+06,3.37775e+06,3.471e+06
246,3.45322e+06,122126,3.366e+06,3.415e+06,3.428e+06,3.44225e+06,4.106e+06
248,3.53794e+06,53979.6,3.436e+06,3.502e+06,3.5275e+06,3.55525e+06,3.672e+06
250,3.63497e+06,91134.2,3.552e+06,3.58e+06,3.613e+06,3.65075e+06,4.024e+06
252,3.71469e+06,114441,3.63e+06,3.67075e+06,3.6845e+06,3.71225e+06,4.274e+06
254,3.76125e+06,56092.7,3.671e+06,3.731e+06,3.762e+06,3.784e+06,3.94e+06
256,4.26869e+06,203139,4.07e+06,4.19425e+06,4.2095e+06,4.2725e+06,5.133e+06
258,3.98188e+06,64555.9,3.862e+06,3.953e+06,3.9655e+06,4.00075e+06,4.161e+06
260,4.08925e+06,40358.9,4.039e+06,4.0615e+06,4.0815e+06,4.0995e+06,4.188e+06
262,4.16512e+06,55939.3,4.056e+06,4.13775e+06,4.152e+06,4.17475e+06,4.336e+06
264,4.26481e+06,35466,4.231e+06,4.23875e+06,4.2575e+06,4.27275e+06,4.37e+06
266,4.40306e+06,99818.2,4.313e+06,4.34975e+06,4.376e+06,4.41275e+06,4.764e+06
268,4.47631e+06,108282,4.216e+06,4.41625e+06,4.4535e+06,4.53075e+06,4.703e+06
270,4.58869e+06,61008.4,4.506e+06,4.548e+06,4.5805e+06,4.615e+06,4.767e+06
272,4.74609e+06,160627,4.597e+06,4.6825e+06,4.7115e+06,4.73925e+06,5.513e+06
274,4.78112e+06,75462.3,4.615e+06,4.72775e+06,4.7715e+06,4.813e+06,5.009e+06
276,5.03075e+06,530186,4.716e+06,4.85e+06,4.892e+06,4.95775e+06,7.24e+06
278,5.02653e+06,66098.6,4.91e+06,4.9825e+06,5.017e+06,5.0675e+06,5.221e+06
280,5.14138e+06,140737,4.984e+06,5.07775e+06,5.1115e+06,5.14275e+06,5.827e+06
282,5.20259e+06,72927.7,5.035e+06,5.16925e+06,5.1895e+06,5.241e+06,5.345e+06
284,5.36388e+06,108452,5.229e+06,5.28425e+06,5.3325e+06,5.40975e+06,5.681e+06
286,5.457e+06,129320,5.31e+06,5.39475e+06,5.424e+06,5.46125e+06,5.97e+06
288,5.59856e+06,91530.3,5.433e+06,5.5405e+06,5.585e+06,5.65825e+06,5.772e+06
290,5.66262e+06,111403,5.446e+06,5.61275e+06,5.6505e+06,5.68575e+06,6.152e+06
292,5.85203e+06,104513,5.546e+06,5.813e+06,5.865e+06,5.919e+06,6.029e+06
294,6.00956e+06,119375,5.766e+06,5.91925e+06,6.003e+06,6.0495e+06,6.385e+06
296,6.07403e+06,117491,5.849e+06,6.003e+06,6.0455e+06,6.112e+06,6.424e+06
298,6.179e+06,137902,5.892e+06,6.11375e+06,6.16e+06,6.21825e+06,6.728e+06
300,6.35853e+06,107446,6.202e+06,6.2885e+06,6.3615e+06,6.393e+06,6.649e+06
302,6.42297e+06,144024,6.198e+06,6.35625e+06,6.3945e+06,6.4595e+06,6.874e+06
304,6.59334e+06,261299,6.377e+06,6.4875e+06,6.531e+06,6.60125e+06,7.883e+06
306,6.72472e+06,140450,6.49e+06,6.624e+06,6.7145e+06,6.808e+06,7.153e+06
308,6.85312e+06,146807,6.636e+06,6.7405e+06,6.8145e+06,6.93925e+06,7.194e+06
310,7.01191e+06,200913,6.695e+06,6.90875e+06,6.966e+06,7.04725e+06,7.629e+06
312,7.15125e+06,172302,6.985e+06,7.02475e+06,7.1045e+06,7.2175e+06,7.858e+06
314,7.49553e+06,412412,7.082e+06,7.2075e+06,7.381e+06,7.542e+06,8.505e+06
316,7.44053e+06,170954,7.245e+06,7.3135e+06,7.423e+06,7.53375e+06,8.104e+06
318,7.51694e+06,162428,7.361e+06,7.42725e+06,7.4915e+06,7.547e+06,8.287e+06
320,7.78941e+06,207272,7.59e+06,7.67025e+06,7.7465e+06,7.815e+06,8.54e+06
322,7.78678e+06,177667,7.472e+06,7.65725e+06,7.765e+06,7.8975e+06,8.351e+06
324,8.02709e+06,185128,7.697e+06,7.91875e+06,8.0255e+06,8.1155e+06,8.703e+06
326,8.12662e+06,266540,7.677e+06,7.957e+06,8.113e+06,8.19025e+06,8.862e+06
328,8.33384e+06,176741,7.972e+06,8.18925e+06,8.3785e+06,8.47525e+06,8.627e+06
330,8.46669e+06,242893,8.09e+06,8.299e+06,8.4885e+06,8.589e+06,9.311e+06
332,8.69591e+06,157778,8.345e+06,8.63375e+06,8.7095e+06,8.81125e+06,8.92e+06
334,8.79603e+06,151683,8.445e+06,8.7185e+06,8.8675e+06,8.884e+06,9.093e+06
336,9.01719e+06,187124,8.682e+06,8.92e+06,8.9905e+06,9.1375e+06,9.489e+06
338,9.0495e+06,277173,8.412e+06,8.9065e+06,8.998e+06,9.19825e+06,9.772e+06
340,9.32491e+06,391417,8.784e+06,9.045e+06,9.226e+06,9.64525e+06,1.0173e+07
342,9.48022e+06,204983,9.134e+06,9.3005e+06,9.469e+06,9.621e+06,9.924e+06
344,9.85247e+06,273088,9.32e+06,9.68725e+06,9.893e+06,1.0009e+07,1.0433e+07
346,9.84594e+06,160941,9.394e+06,9.76975e+06,9.8445e+06,9.9275e+06,1.0285e+07
348,9.97309e+06,197927,9.541e+06,9.85e+06,9.978e+06,1.01108e+07,1.0386e+07
350,1.02319e+07,213241,9.794e+06,1.01615e+07,1.0254e+07,1.0334e+07,1.0597e+07
352,1.07006e+07,924411,9.984e+06,1.012e+07,1.0494e+07,1.08488e+07,1.4851e+07
354,1.05781e+07,210924,1.0078e+07,1.05398e+07,1.05915e+07,1.0709e+07,1.0929e+07
356,1.06803e+07,253433,1.0148e+07,1.0495e+07,1.0729e+07,1.07995e+07,1.1402e+07
358,1.09583e+07,204721,1.0583e+07,1.08278e+07,1.0947e+07,1.10992e+07,1.1501e+07
360,1.10302e+07,197680,1.0675e+07,1.08715e+07,1.1098e+07,1.1138e+07,1.1408e+07
362,1.13176e+07,314891,1.0818e+07,1.10482e+07,1.1366e+07,1.1489e+07,1.2076e+07
364,1.1359e+07,231624,1.0711e+07,1.12378e+07,1.1395e+07,1.14892e+07,1.1812e+07
366,1.15359e+07,226924,1.1169e+07,1.13458e+07,1.15565e+07,1.16368e+07,1.2099e+07
368,1.17491e+07,317912,1.1267e+07,1.14992e+07,1.17805e+07,1.1968e+07,1.2552e+07
370,1.20209e+07,239271,1.1651e+07,1.18548e+07,1.204e+07,1.21385e+07,1.2747e+07
372,1.21332e+07,277715,1.1638e+07,1.19158e+07,1.21045e+07,1.2333e+07,1.271e+07
374,1.22892e+07,271674,1.1836e+07,1.20658e+07,1.2374e+07,1.24772e+07,1.2757e+07
376,1.23977e+07,269007,1.2044e+07,1.22482e+07,1.2351e+07,1.25285e+07,1.323e+07
378,1.30513e+07,655752,1.2501e+07,1.27948e+07,1.28725e+07,1.30365e+07,1.5633e+07
380,1.32388e+07,463957,1.2541e+07,1.29578e+07,1.31665e+07,1.35098e+07,1.4372e+07
382,1.32781e+07,239225,1.285e+07,1.30755e+07,1.33365e+07,1.3443e+07,1.3951e+07
384,1.34274e+07,257653,1.2915e+07,1.32848e+07,1.3406e+07,1.354e+07,1.4155e+07
386,1.36873e+07,961998,1.3088e+07,1.3295e+07,1.33855e+07,1.37242e+07,1.857e+07
388,1.37948e+07,169310,1.3404e+07,1.37205e+07,1.3821e+07,1.3882e+07,1.4161e+07
390,1.39607e+07,311438,1.353e+07,1.3734e+07,1.39125e+07,1.40955e+07,1.4823e+07
392,1.43479e+07,336793,1.3649e+07,1.41875e+07,1.4337e+07,1.45388e+07,1.5383e+07
394,1.45114e+07,382866,1.3835e+07,1.42465e+07,1.45025e+07,1.46732e+07,1.5531e+07
396,1.4745e+07,283200,1.4301e+07,1.45108e+07,1.471e+07,1.49358e+07,1.5296e+07
398,1.50679e+07,352680,1.4304e+07,1.48252e+07,1.5158e+07,1.52838e+07,1.557e+07
400,1.55071e+07,211346,1.4881e+07,1.53668e+07,1.5516e+07,1.56245e+07,1.587e+07
402,1.5647e+07,325924,1.4926e+07,1.53492e+07,1.56735e+07,1.58588e+07,1.6224e+07
404,1.58198e+07,421130,1.5324e+07,1.55052e+07,1.57755e+07,1.60102e+07,1.7375e+07
406,1.63786e+07,592452,1.5843e+07,1.60595e+07,1.6262e+07,1.64692e+07,1.9215e+07
408,1.63792e+07,307767,1.5796e+07,1.616e+07,1.6417e+07,1.65865e+07,1.7065e+07
410,1.68171e+07,294309,1.6091e+07,1.66255e+07,1.6887e+07,1.69975e+07,1.7332e+07
412,1.71447e+07,416726,1.6344e+07,1.67795e+07,1.71105e+07,1.74028e+07,1.8268e+07
414,1.76188e+07,341586,1.7205e+07,1.73878e+07,1.76065e+07,1.77438e+07,1.8753e+07
416,1.78285e+07,362739,1.6981e+07,1.75718e+07,1.78395e+07,1.8028e+07,1.8842e+07
418,1.82507e+07,261096,1.7485e+07,1.8094e+07,1.8265e+07,1.83845e+07,1.8968e+07
420,1.85107e+07,285729,1.8055e+07,1.81962e+07,1.85755e+07,1.87328e+07,1.9042e+07
422,1.88272e+07,333345,1.801e+07,1.85202e+07,1.8892e+07,1.90405e+07,1.9471e+07
424,1.91651e+07,297990,1.8556e+07,1.8919e+07,1.9273e+07,1.93622e+07,1.9658e+07
426,1.96841e+07,737729,1.8437e+07,1.94355e+07,1.9658e+07,1.98142e+07,2.3071e+07
428,1.97621e+07,377478,1.8883e+07,1.95702e+07,1.98705e+07,2.00042e+07,2.0341e+07
430,2.02422e+07,331095,1.888e+07,2.01595e+07,2.0289e+07,2.04275e+07,2.0837e+07
432,2.02947e+07,303146,1.9312e+07,2.01558e+07,2.03415e+07,2.0486e+07,2.0774e+07
434,2.07474e+07,405821,1.9931e+07,2.034e+07,2.08735e+07,2.10042e+07,2.1534e+07
