n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,93.75,296.145,0,0,0,0,1000
4,93.75,296.145,0,0,0,0,1000
6,156.25,368.902,0,0,0,0,1000
8,312.5,470.929,0,0,0,1000,1000
10,343.75,482.559,0,0,0,1000,1000
12,812.5,396.558,0,1000,1000,1000,1000
14,906.25,296.145,0,1000,1000,1000,1000
16,1343.75,482.559,1000,1000,1000,2000,2000
18,1781.25,706.394,1000,1000,2000,2000,3000
20,2187.5,396.558,2000,2000,2000,2000,3000
22,2843.75,368.902,2000,3000,3000,3000,3000
24,3500,508.001,3000,3000,3500,4000,4000
26,4593.75,498.991,4000,4000,5000,5000,5000
28,5625,491.869,5000,5000,6000,6000,6000
30,6875,751.343,5000,6000,7000,7000,8000
32,8375,659.912,7000,8000,8000,9000,9000
34,9812.5,820.602,8000,9750,10000,10000,11000
36,11843.8,677.251,10000,12000,12000,12000,13000
38,13812.5,1229.67,11000,14000,14000,15000,15000
40,15687.5,1229.67,13000,16000,16000,16000,17000
42,18187.5,1378.11,15000,18000,19000,19000,20000
44,20375,1431.22,17000,20000,20000,22000,22000
46,23468.8,2462.42,19000,22000,23000,25000,31000
48,25375,1773.46,22000,25000,26000,26250,28000
50,28937.5,4442.74,25000,27000,28500,29000,51000
52,31812.5,1958.23,28000,31000,32000,32250,37000
54,36031.2,8774.91,31000,33000,35000,36000,83000
56,44312.5,2532.85,40000,43000,44000,46000,50000
58,46625,1946.88,43000,45000,47000,48000,52000
60,55687.5,8244.01,46000,48000,53000,64000,70000
62,56093.8,5318.01,52000,53000,55000,56000,77000
64,56500,2063.51,53000,55000,56500,58000,62000
66,66687.5,4238.36,63000,65000,66000,66250,83000
68,69875,7285.65,65000,66000,68000,69000,92000
70,96781.2,1313.32,95000,96000,96500,98000,99000
72,93406.2,8526.46,87000,89000,90000,92250,125000
74,113219,15770,104000,106750,113000,114000,197000
76,115688,6013.09,107000,111750,116000,119000,138000
78,119469,6101.21,109000,114000,118500,124250,130000
80,113969,4666.17,106000,110750,113000,116000,128000
82,126000,3707.01,120000,124000,125000,128000,138000
84,138406,5740.96,132000,136000,137000,138000,159000
86,157219,4982.13,151000,155000,156000,158000,172000
88,157656,5355.79,152000,155000,156000,157250,178000
90,181000,5830.95,170000,176750,181500,185000,196000
92,192469,4593.01,187000,189000,191000,196000,201000
94,210125,5046.56,205000,207750,208500,211250,232000
96,212531,7762.54,203000,208750,211000,214000,245000
98,240281,2385.9,237000,239000,240000,241000,250000
100,251000,2651.84,246000,249750,251000,252000,259000
102,268844,5542.27,265000,266000,268000,268250,295000
104,281062,5696.28,273000,277000,281000,283000,303000
106,297125,1560.6,295000,296000,297000,298000,301000
108,312531,8575.98,303000,310000,311000,312000,351000
110,329406,2960.59,325000,328000,329000,330000,342000
112,345656,7055.58,336000,343000,345000,346000,374000
114,362781,3957.31,355000,361000,363000,364000,377000
116,377969,5648.2,369000,372000,379500,381250,396000
118,403406,11356,397000,399000,400000,402000,459000
120,420750,6956.08,415000,418000,419000,420000,447000
122,445219,32813,435000,438000,438000,439000,623000
124,459594,4668.77,449000,457000,459000,461250,470000
126,477406,12323.2,464000,469000,475000,481250,516000
128,518125,37774.2,495000,502750,515000,519250,718000
130,518969,9888.03,507000,512000,516500,525000,548000
132,541906,7086.38,529000,535000,543000,548000,552000
134,566156,10147.6,551000,558000,567000,572250,589000
136,598688,6765.36,589000,594000,598000,600250,620000
138,622562,12608.1,603000,615750,621000,623250,670000
140,648875,6277.2,639000,644750,649000,651250,667000
142,682125,43746.2,665000,669000,675000,676250,918000
144,705562,6010.41,694000,702750,706000,709000,724000
146,743469,85755.1,698000,714000,723500,736250,1.185e+06
148,753062,14949.2,719000,747750,757000,763250,776000
150,792156,14708.1,779000,783750,791500,793250,862000
152,821688,10368.8,794000,816000,825500,828000,840000
154,856344,49925.5,821000,841000,846000,858250,1.118e+06
156,882375,19142.5,836000,876750,880500,892250,942000
158,919438,11267.8,906000,911500,918000,925000,951000
160,964656,27004.9,928000,951000,962500,969750,1.078e+06
162,994188,33120.9,975000,978000,985000,995000,1.162e+06
164,1.008e+06,22487.3,969000,991000,1.007e+06,1.01625e+06,1.076e+06
166,1.05459e+06,15227,1.024e+06,1.0465e+06,1.0555e+06,1.067e+06,1.084e+06
168,1.09469e+06,22035.8,1.063e+06,1.07825e+06,1.0935e+06,1.10825e+06,1.154e+06
170,1.14072e+06,47421.4,1.071e+06,1.12375e+06,1.1405e+06,1.144e+06,1.312e+06
172,1.17741e+06,12579.7,1.144e+06,1.16875e+06,1.177e+06,1.185e+06,1.212e+06
174,1.19456e+06,42712,1.129e+06,1.1665e+06,1.1985e+06,1.21025e+06,1.362e+06
176,1.25447e+06,42946.3,1.2e+06,1.2375e+06,1.253e+06,1.2665e+06,1.438e+06
178,1.30253e+06,39897.4,1.257e+06,1.28575e+06,1.2995e+06,1.30925e+06,1.496e+06
180,1.33609e+06,33701.1,1.275e+06,1.30875e+06,1.3395e+06,1.3545e+06,1.439e+06
182,1.38278e+06,22537,1.34e+06,1.366e+06,1.382e+06,1.399e+06,1.433e+06
184,1.41841e+06,29934.2,1.364e+06,1.401e+06,1.415e+06,1.43175e+06,1.512e+06
186,1.49497e+06,38273.6,1.445e+06,1.478e+06,1.4895e+06,1.499e+06,1.634e+06
188,1.53134e+06,15843.2,1.492e+06,1.524e+06,1.528e+06,1.542e+06,1.576e+06
190,1.58534e+06,14914,1.538e+06,1.57475e+06,1.589e+06,1.59125e+06,1.625e+06
192,1.69016e+06,75646.5,1.614e+06,1.65e+06,1.663e+06,1.71525e+06,2.022e+06
194,1.66419e+06,43140,1.595e+06,1.64575e+06,1.6585e+06,1.673e+06,1.869e+06
196,1.73503e+06,47502.5,1.689e+06,1.72e+06,1.727e+06,1.742e+06,1.975e+06
198,1.78616e+06,32226.1,1.737e+06,1.77425e+06,1.783e+06,1.797e+06,1.891e+06
200,1.85919e+06,33931.1,1.834e+06,1.84225e+06,1.855e+06,1.86e+06,1.985e+06
202,1.90759e+06,31356.3,1.887e+06,1.8935e+06,1.906e+06,1.90825e+06,2.069e+06
204,1.97909e+06,72261.8,1.895e+06,1.9455e+06,1.966e+06,1.9805e+06,2.239e+06
206,2.01975e+06,28072.5,1.972e+06,2.004e+06,2.0155e+06,2.02475e+06,2.112e+06
208,2.10131e+06,141813,1.989e+06,2.045e+06,2.07e+06,2.09625e+06,2.829e+06
210,2.11591e+06,38016.4,2.022e+06,2.0885e+06,2.1215e+06,2.136e+06,2.205e+06
212,2.19369e+06,35287.2,2.133e+06,2.18325e+06,2.189e+06,2.207e+06,2.305e+06
214,2.25962e+06,120694,2.149e+06,2.205e+06,2.2395e+06,2.26625e+06,2.83e+06
216,2.32066e+06,27536,2.26e+06,2.315e+06,2.321e+06,2.33775e+06,2.383e+06
218,2.37303e+06,65161.6,2.266e+06,2.34e+06,2.3715e+06,2.39825e+06,2.669e+06
220,2.46303e+06,58871.4,2.36e+06,2.4255e+06,2.4535e+06,2.492e+06,2.657e+06
222,2.53281e+06,39905.1,2.424e+06,2.51525e+06,2.5365e+06,2.55375e+06,2.614e+06
224,3.31166e+06,848364,2.586e+06,2.73875e+06,3.035e+06,3.631e+06,6.45e+06
226,2.74856e+06,210088,2.639e+06,2.6505e+06,2.695e+06,2.74425e+06,3.798e+06
228,3.05603e+06,373112,2.721e+06,2.812e+06,2.937e+06,3.179e+06,4.11e+06
230,2.89338e+06,293397,2.72e+06,2.79225e+06,2.8075e+06,2.85125e+06,4.155e+06
232,2.91159e+06,61797.2,2.811e+06,2.8785e+06,2.8875e+06,2.9405e+06,3.116e+06
234,2.96397e+06,38998.3,2.902e+06,2.9365e+06,2.951e+06,2.9855e+06,3.067e+06
236,3.10503e+06,155581,2.961e+06,3.03675e+06,3.0655e+06,3.10675e+06,3.859e+06
238,3.14616e+06,43845.1,3.056e+06,3.1135e+06,3.1475e+06,3.18e+06,3.227e+06
240,3.2465e+06,49076.6,3.167e+06,3.22375e+06,3.2455e+06,3.27775e+06,3.382e+06
