n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
32,125188,336516,0,0,0,0,1.005e+006
64,775656,559883,0,376500,1.0005e+006,1.04625e+006,1.531e+006
128,5.87844e+006,795761,4.507e+006,5.5155e+006,5.6215e+006,6.317e+006,8.159e+006
256,4.75077e+007,5.81963e+006,4.2431e+007,4.38342e+007,4.5063e+007,4.93082e+007,6.9261e+007
512,3.29669e+008,2.69319e+007,2.94058e+008,3.11433e+008,3.22244e+008,3.44727e+008,4.07429e+008
1024,2.08506e+009,2.61122e+007,2.04597e+009,2.06942e+009,2.07712e+009,2.09592e+009,2.17734e+009
2048,1.45418e+010,4.30642e+008,1.41482e+010,1.43078e+010,1.44429e+010,1.45196e+010,1.63959e+010
