n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,6843.75,6268.76,2000,4000,5000,6000,33000
4,15093.8,5201.48,11000,13000,13000,15000,35000
6,17156.2,5919.4,12000,14000,15000,16750,40000
8,77656.2,17055.1,63000,66000,72000,77750,124000
10,79906.2,16149.2,64000,69000,72000,83750,135000
12,72218.8,9047.31,65000,67750,69500,72500,115000
14,73031.2,9720.23,62000,66750,70000,74500,104000
16,402875,32083.3,372000,383000,387500,419500,511000
18,407406,36642,362000,380500,405500,421250,548000
20,379406,15959.3,352000,368000,375500,389500,416000
22,372969,43345.9,345000,355000,366000,371250,597000
24,421906,46226.9,373000,398000,418000,428250,644000
26,372031,16099.5,348000,360500,369000,376000,423000
28,390438,24406.4,368000,377750,383500,391000,481000
30,387594,18065.9,360000,376750,384500,394250,459000
32,2.72934e+06,82807.4,2.565e+06,2.67525e+06,2.7365e+06,2.76925e+06,2.908e+06
34,2.64469e+06,65091.2,2.554e+06,2.59225e+06,2.6305e+06,2.68275e+06,2.832e+06
36,2.69797e+06,124928,2.44e+06,2.6065e+06,2.6995e+06,2.7875e+06,2.939e+06
38,2.76491e+06,128571,2.6e+06,2.6735e+06,2.7355e+06,2.827e+06,3.2e+06
40,2.68575e+06,98455.2,2.551e+06,2.6285e+06,2.6755e+06,2.721e+06,2.945e+06
42,2.76784e+06,130172,2.585e+06,2.67575e+06,2.7635e+06,2.83575e+06,3.139e+06
44,2.93144e+06,125614,2.751e+06,2.8305e+06,2.9215e+06,2.9865e+06,3.288e+06
46,3.39659e+06,396911,2.764e+06,3.202e+06,3.318e+06,3.6165e+06,4.649e+06
48,2.86728e+06,79488,2.727e+06,2.82775e+06,2.8655e+06,2.905e+06,3.068e+06
50,2.82569e+06,106828,2.607e+06,2.75525e+06,2.821e+06,2.9005e+06,3.134e+06
52,2.77656e+06,127517,2.583e+06,2.68575e+06,2.7335e+06,2.84425e+06,3.206e+06
54,2.73375e+06,125482,2.483e+06,2.64675e+06,2.7195e+06,2.782e+06,3.188e+06
56,2.79875e+06,138666,2.602e+06,2.7015e+06,2.7725e+06,2.863e+06,3.271e+06
58,2.93834e+06,207157,2.63e+06,2.78525e+06,2.915e+06,3.0865e+06,3.452e+06
60,3.14491e+06,199904,2.866e+06,2.98175e+06,3.094e+06,3.32225e+06,3.517e+06
62,3.16969e+06,113518,3.017e+06,3.105e+06,3.1375e+06,3.21525e+06,3.614e+06
64,2.24915e+07,2.7976e+06,2.007e+07,2.08302e+07,2.1718e+07,2.33065e+07,3.3844e+07
66,2.09228e+07,1.24618e+06,1.8701e+07,2.00868e+07,2.07445e+07,2.13312e+07,2.4803e+07
68,2.16877e+07,1.38983e+06,1.9409e+07,2.06735e+07,2.16125e+07,2.22625e+07,2.4874e+07
70,2.25682e+07,1.35158e+06,2.0058e+07,2.1842e+07,2.25075e+07,2.30252e+07,2.5465e+07
72,2.28625e+07,1.37376e+06,1.9772e+07,2.22782e+07,2.30535e+07,2.3353e+07,2.7657e+07
74,2.28516e+07,1.52948e+06,2.0988e+07,2.1926e+07,2.22965e+07,2.35672e+07,2.7616e+07
76,2.23302e+07,1.37393e+06,2.0578e+07,2.14082e+07,2.1867e+07,2.31562e+07,2.5141e+07
78,2.18123e+07,1.31642e+06,1.9982e+07,2.0729e+07,2.17055e+07,2.24858e+07,2.4472e+07
80,2.21138e+07,1.39885e+06,1.946e+07,2.08702e+07,2.21395e+07,2.2894e+07,2.4931e+07
82,2.19902e+07,1.262e+06,2.0035e+07,2.1015e+07,2.17745e+07,2.2924e+07,2.4631e+07
84,2.1787e+07,1.38192e+06,1.9854e+07,2.0707e+07,2.12625e+07,2.27758e+07,2.638e+07
86,2.18276e+07,1.33733e+06,1.9458e+07,2.07568e+07,2.16795e+07,2.27325e+07,2.4927e+07
88,2.22976e+07,1.79245e+06,1.966e+07,2.08585e+07,2.18185e+07,2.33145e+07,2.7808e+07
90,2.26386e+07,1.32688e+06,2.0655e+07,2.16458e+07,2.2644e+07,2.33305e+07,2.5815e+07
92,2.30035e+07,1.212e+06,2.1456e+07,2.19905e+07,2.26275e+07,2.38095e+07,2.5375e+07
94,2.41719e+07,2.9093e+06,2.1225e+07,2.23705e+07,2.33935e+07,2.47265e+07,3.6137e+07
96,2.29512e+07,1.18568e+06,2.0882e+07,2.20635e+07,2.2917e+07,2.37788e+07,2.5031e+07
98,2.36605e+07,1.49135e+06,2.0317e+07,2.26418e+07,2.3649e+07,2.43868e+07,2.7575e+07
100,2.30016e+07,1.25678e+06,2.1225e+07,2.19802e+07,2.3091e+07,2.38222e+07,2.5562e+07
102,2.33488e+07,1.30206e+06,2.0667e+07,2.24835e+07,2.32535e+07,2.3515e+07,2.6017e+07
