n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
8,142562,391470,0,0,0,0,1.53E+06
16,663938,578679,0,0,998000,1.01E+06,1.52E+06
32,4.24E+06,915346,3.04E+06,3.58E+06,4.04E+06,4.52E+06,8.05E+06
64,2.75E+07,2.44E+06,2.57E+07,2.66E+07,2.71E+07,2.75E+07,3.97E+07
128,1.90E+08,7.13E+06,1.81E+08,1.85E+08,1.88E+08,1.91E+08,2.09E+08
256,1.29E+09,2.96E+07,1.26E+09,1.27E+09,1.27E+09,1.30E+09,1.38E+09
512,8.75E+09,2.64E+08,8.46E+09,8.58E+09,8.65E+09,8.89E+09,9.66E+09
1024,5.78E+10,1.61E+09,5.68E+10,5.69E+10,5.69E+10,5.72E+10,6.28E+10
2048,5.89E+11,1.11E+11,4.33E+11,4.49E+11,6.73E+11,6.75E+11,7.04E+11
,,,,,,,
,,,,,,,
,,,,,,,
