n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,3218.75,5700.79,1000,1000,2000,3000,34000
4,10125,3669.84,7000,8000,9000,11000,22000
6,9750,2257.6,7000,9000,9000,10250,17000
8,47562.5,2723.11,44000,46000,47000,48250,56000
10,48375,3634.51,45000,46000,48000,49250,64000
12,49562.5,5802.88,44000,46000,49000,51000,71000
14,50781.2,7864.72,44000,46000,49000,51000,85000
16,321250,9695.36,310000,317000,319000,323000,354000
18,329719,51187.3,307000,316000,320500,326250,608000
20,324156,6763.8,313000,318750,324000,328250,339000
22,333344,52434.1,313000,319000,324000,329000,619000
24,345375,60340.8,314000,323000,328000,334250,602000
26,331125,12732.4,318000,324750,329500,333000,392000
28,334062,6899.92,324000,329000,332500,337250,352000
30,333188,12277.5,321000,327000,330500,334250,389000
32,2.21297e+06,41554.1,2.104e+06,2.18725e+06,2.219e+06,2.2455e+06,2.278e+06
34,2.21778e+06,21081.6,2.17e+06,2.2065e+06,2.216e+06,2.23e+06,2.272e+06
36,2.39262e+06,402043,2.161e+06,2.20125e+06,2.234e+06,2.30175e+06,3.662e+06
38,2.21909e+06,30877.9,2.168e+06,2.20275e+06,2.217e+06,2.23025e+06,2.314e+06
40,2.22991e+06,46417.7,2.16e+06,2.19625e+06,2.2255e+06,2.2485e+06,2.41e+06
42,2.24603e+06,49843.9,2.18e+06,2.21475e+06,2.2385e+06,2.25575e+06,2.456e+06
44,2.24147e+06,35719.3,2.164e+06,2.21175e+06,2.2435e+06,2.26325e+06,2.333e+06
46,2.25228e+06,44140.7,2.141e+06,2.232e+06,2.2475e+06,2.27275e+06,2.367e+06
48,2.27322e+06,50174.4,2.199e+06,2.24375e+06,2.26e+06,2.283e+06,2.422e+06
50,2.2365e+06,39055.8,2.16e+06,2.2135e+06,2.2345e+06,2.26425e+06,2.349e+06
52,2.25372e+06,41179.6,2.146e+06,2.22475e+06,2.2575e+06,2.28575e+06,2.32e+06
54,2.21803e+06,32507.6,2.157e+06,2.1975e+06,2.216e+06,2.2365e+06,2.291e+06
56,2.27709e+06,58289.2,2.174e+06,2.23925e+06,2.277e+06,2.30625e+06,2.476e+06
58,2.27878e+06,59121.9,2.145e+06,2.22975e+06,2.274e+06,2.30575e+06,2.415e+06
60,2.28709e+06,44613.3,2.194e+06,2.2605e+06,2.2875e+06,2.3105e+06,2.406e+06
62,2.32956e+06,168691,2.222e+06,2.27225e+06,2.3e+06,2.32025e+06,3.224e+06
64,1.51658e+07,213922,1.4613e+07,1.50322e+07,1.5212e+07,1.52955e+07,1.5565e+07
66,1.52734e+07,426146,1.4886e+07,1.50775e+07,1.52035e+07,1.5292e+07,1.7383e+07
68,1.5201e+07,192539,1.4783e+07,1.51035e+07,1.52085e+07,1.53142e+07,1.569e+07
70,1.52373e+07,204778,1.4929e+07,1.51568e+07,1.52305e+07,1.53082e+07,1.5956e+07
72,1.53851e+07,389421,1.4966e+07,1.52042e+07,1.5333e+07,1.5413e+07,1.6897e+07
74,1.53121e+07,259310,1.4988e+07,1.51542e+07,1.53405e+07,1.5397e+07,1.648e+07
76,1.52523e+07,338871,1.4741e+07,1.50345e+07,1.5205e+07,1.5248e+07,1.6206e+07
78,1.5174e+07,164972,1.4939e+07,1.50372e+07,1.5137e+07,1.53002e+07,1.5651e+07
80,1.53014e+07,290030,1.4852e+07,1.50908e+07,1.52415e+07,1.55212e+07,1.6195e+07
82,1.5462e+07,259838,1.5043e+07,1.5341e+07,1.54195e+07,1.5542e+07,1.629e+07
84,1.63111e+07,2.20833e+06,1.4779e+07,1.5212e+07,1.54095e+07,1.56215e+07,2.3115e+07
86,1.54262e+07,494587,1.4795e+07,1.521e+07,1.5351e+07,1.54905e+07,1.7431e+07
88,1.55363e+07,361190,1.5207e+07,1.53822e+07,1.5453e+07,1.55368e+07,1.7052e+07
90,1.54406e+07,251086,1.5067e+07,1.53472e+07,1.5386e+07,1.55102e+07,1.6551e+07
92,1.54403e+07,364246,1.5052e+07,1.52602e+07,1.54255e+07,1.55168e+07,1.7165e+07
94,1.55416e+07,247123,1.5139e+07,1.53655e+07,1.55155e+07,1.56515e+07,1.6456e+07
96,1.58909e+07,965190,1.5285e+07,1.54455e+07,1.56715e+07,1.5727e+07,2.054e+07
98,1.64035e+07,1.23e+06,1.5268e+07,1.5786e+07,1.59855e+07,1.65442e+07,2.1937e+07
100,1.57127e+07,387580,1.5176e+07,1.54302e+07,1.5666e+07,1.58138e+07,1.7135e+07
102,1.56968e+07,359797,1.512e+07,1.5503e+07,1.56565e+07,1.581e+07,1.6811e+07
104,1.56765e+07,199695,1.5383e+07,1.55338e+07,1.5681e+07,1.57828e+07,1.6307e+07
106,1.58516e+07,565010,1.5162e+07,1.56095e+07,1.57165e+07,1.5839e+07,1.8103e+07
