n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,2187.5,2620.48,1000,1000,2000,2000,16000
4,9406.25,1720.08,7000,9000,9000,10000,16000
6,9781.25,3076.81,7000,8000,9000,10000,20000
8,52781.2,3965.45,49000,51000,51500,53000,68000
10,53000,7255.7,49000,50000,51000,54000,91000
12,53937.5,3099.82,50000,51750,53000,56000,63000
14,57343.8,3451.13,53000,54750,56000,60250,67000
16,342156,12389.1,325000,330000,341500,351000,379000
18,349812,9096.04,335000,344000,348000,356000,371000
20,355594,12338.9,338000,348000,350500,361000,393000
22,365469,67801.4,340000,346750,350500,359750,731000
24,350469,9469.76,336000,343750,349500,354000,377000
26,357031,18993.2,330000,346500,350500,364750,419000
28,373531,15531.4,351000,365000,369500,377250,441000
30,371062,23982.4,350000,360750,365500,371250,488000
32,2.42497e+06,63155.5,2.319e+06,2.38475e+06,2.4235e+06,2.4695e+06,2.573e+06
34,2.48578e+06,78122.2,2.33e+06,2.4405e+06,2.4945e+06,2.52225e+06,2.662e+06
36,2.46422e+06,75063.3,2.36e+06,2.41425e+06,2.4475e+06,2.5045e+06,2.674e+06
38,2.39756e+06,63211.3,2.269e+06,2.37425e+06,2.39e+06,2.4225e+06,2.614e+06
40,2.46672e+06,48575.3,2.292e+06,2.4505e+06,2.4655e+06,2.49875e+06,2.536e+06
42,2.43975e+06,65933.5,2.357e+06,2.40825e+06,2.4315e+06,2.453e+06,2.72e+06
44,2.44556e+06,54945.7,2.345e+06,2.40425e+06,2.444e+06,2.4905e+06,2.571e+06
46,2.45547e+06,66280.4,2.306e+06,2.423e+06,2.4555e+06,2.4965e+06,2.615e+06
48,2.47616e+06,73890.6,2.392e+06,2.424e+06,2.4645e+06,2.50425e+06,2.787e+06
50,2.44519e+06,64165.8,2.359e+06,2.40275e+06,2.43e+06,2.47825e+06,2.589e+06
52,2.45191e+06,56873.6,2.369e+06,2.40575e+06,2.4345e+06,2.48475e+06,2.613e+06
54,2.44956e+06,68006.1,2.339e+06,2.401e+06,2.456e+06,2.4915e+06,2.623e+06
56,3.05575e+06,640537,2.553e+06,2.687e+06,2.7655e+06,3.1355e+06,5.086e+06
58,2.71094e+06,158957,2.582e+06,2.645e+06,2.674e+06,2.72175e+06,3.452e+06
60,2.77769e+06,249226,2.546e+06,2.65225e+06,2.702e+06,2.7645e+06,3.603e+06
62,2.61206e+06,122124,2.468e+06,2.53e+06,2.567e+06,2.686e+06,3.014e+06
64,1.68047e+07,470933,1.6224e+07,1.64362e+07,1.6682e+07,1.69825e+07,1.7857e+07
66,1.67097e+07,356165,1.6128e+07,1.64362e+07,1.66435e+07,1.69142e+07,1.7565e+07
68,1.68326e+07,1.3791e+06,1.6051e+07,1.64118e+07,1.64985e+07,1.66562e+07,2.3991e+07
70,1.66127e+07,205773,1.6378e+07,1.652e+07,1.65775e+07,1.66505e+07,1.7538e+07
72,1.65697e+07,276641,1.6055e+07,1.64118e+07,1.6536e+07,1.67822e+07,1.7228e+07
74,1.67542e+07,450941,1.6123e+07,1.65075e+07,1.6672e+07,1.68182e+07,1.8715e+07
76,1.65152e+07,257329,1.6067e+07,1.641e+07,1.6472e+07,1.66245e+07,1.741e+07
78,1.65158e+07,237255,1.606e+07,1.63938e+07,1.6524e+07,1.66872e+07,1.6959e+07
80,1.67129e+07,303930,1.6205e+07,1.65572e+07,1.6653e+07,1.6872e+07,1.7714e+07
82,1.69762e+07,406921,1.6399e+07,1.66805e+07,1.68835e+07,1.72625e+07,1.8273e+07
84,1.7192e+07,1.46936e+06,1.6278e+07,1.65695e+07,1.68295e+07,1.7064e+07,2.4727e+07
86,1.66525e+07,265078,1.6261e+07,1.6502e+07,1.663e+07,1.6711e+07,1.7362e+07
88,1.66594e+07,233144,1.6142e+07,1.65302e+07,1.6657e+07,1.68015e+07,1.7087e+07
90,1.66918e+07,257154,1.6251e+07,1.65528e+07,1.66375e+07,1.67712e+07,1.7484e+07
92,1.68008e+07,229143,1.628e+07,1.6692e+07,1.6793e+07,1.68942e+07,1.7371e+07
94,1.6779e+07,311142,1.63e+07,1.65228e+07,1.67615e+07,1.69612e+07,1.761e+07
96,1.70106e+07,212850,1.6576e+07,1.689e+07,1.69575e+07,1.7111e+07,1.7431e+07
98,1.71875e+07,506527,1.6507e+07,1.68725e+07,1.70515e+07,1.7326e+07,1.8697e+07
100,1.6944e+07,320913,1.6502e+07,1.67928e+07,1.68665e+07,1.71e+07,1.8165e+07
102,1.70915e+07,252352,1.6653e+07,1.68975e+07,1.7036e+07,1.72505e+07,1.7621e+07
104,1.7132e+07,342924,1.6582e+07,1.6965e+07,1.70595e+07,1.72582e+07,1.867e+07
106,1.71276e+07,237690,1.681e+07,1.69482e+07,1.7111e+07,1.72558e+07,1.8083e+07
108,1.71341e+07,340206,1.6589e+07,1.69215e+07,1.70455e+07,1.72702e+07,1.8079e+07
110,1.80396e+07,2.78392e+06,1.6578e+07,1.69425e+07,1.73115e+07,1.78772e+07,3.0849e+07
112,1.77915e+07,285518,1.7317e+07,1.76415e+07,1.7724e+07,1.79938e+07,1.8418e+07
114,1.79132e+07,441446,1.7211e+07,1.76655e+07,1.77555e+07,1.80782e+07,1.8991e+07
